Episode;Rewards
0;99.72
1;99.12
2;99.84
3;99.84
4;99.72
5;99.8
6;98.8
7;95.52
8;98.6
9;99.68
10;96.6
11;99.56
12;99.76
13;98.04
14;99.8
15;99.28
16;99.88
17;98.96
18;99.24
19;99.8
20;98.8
21;99.72
22;99.68
23;99.76
24;99.8
25;98.2
26;97.28
27;98.8
28;99.44
29;99.6
30;99.88
31;99.76
32;98.2
33;99.76
34;99.32
35;99.44
36;99.44
37;99.4
38;99.68
39;98.92
40;99.68
41;99.64
42;98.12
43;99.8
44;99.76
45;-100.44
46;98.56
47;99.68
48;98.68
49;97.88
50;99.84
51;99.72
52;99.2
53;99.76
54;99.64
55;99.36
56;98.6
57;99.76
58;99.56
59;99.72
60;99.12
61;99.8
62;98.48
63;97.48
64;99.64
65;99.44
66;99.16
67;99.28
68;99.52
69;99.56
70;99.84
71;99.88
72;99.72
73;98.6
74;99.88
75;99.72
76;99.88
77;99.68
78;99.68
79;99.68
80;99.04
81;99.48
82;99.56
83;99.72
84;99.84
85;99.84
86;99.88
87;98.08
88;98.76
89;96.96
90;99.4
91;99.68
92;99.68
93;99.12
94;99.24
95;99.84
96;98.88
97;99.84
98;99.8
99;99.24
100;99.64
101;99.48
102;99.76
103;99.76
104;99.84
105;99.4
106;99.68
107;98.64
108;99.36
109;97.4
110;99.68
111;99.84
112;99.68
113;99.4
114;99.52
115;99.24
116;99.36
117;99.64
118;99.6
119;-100.48
120;99.72
121;99.56
122;99.24
123;99.88
124;99.36
125;98.52
126;99.6
127;99.2
128;97.52
129;98.92
130;99.68
131;99.72
132;99.64
133;99.04
134;99.28
135;99.8
136;99.12
137;99.88
138;99.32
139;99.12
140;99.32
141;99.32
142;98
143;99.08
144;99.48
145;98.36
146;99.52
147;98.6
148;99.44
149;99.68
150;99.32
151;99.28
152;99.36
153;98.36
154;98.32
155;99.8
156;99.84
157;98.64
158;98.96
159;99.2
160;99.4
161;99.68
162;99.32
163;97
164;99.8
165;98.84
166;99
167;99.16
168;99.64
169;99.88
170;99.12
171;99.2
172;99.44
173;99.52
174;99.28
175;99.8
176;99.76
177;99.84
178;97.28
179;99.16
180;99.72
181;98.44
182;99.76
183;99.56
184;99.72
185;99.44
186;99.4
187;99.8
188;99.72
189;99.04
190;99.44
191;99.84
192;99.68
193;99.04
194;96.96
195;98.84
196;99.48
197;99.52
198;99.72
199;99.44
200;99.68
201;99.4
202;97.36
203;99.8
204;99.24
205;98.84
206;99.52
207;98.6
208;99.16
209;98.76
210;99.2
211;98.76
212;98.72
213;99.6
214;99.84
215;99.8
216;99.88
217;99.88
218;98.84
219;99.28
220;98.48
221;99.36
222;99.32
223;99.28
224;99.72
225;98.72
226;99.24
227;95.6
228;98.92
229;99.04
230;99.12
231;99.76
232;98.76
233;99.36
234;98.84
235;99.68
236;99.64
237;99.8
238;98.08
239;99
240;97.52
241;99.24
242;99.32
243;97.84
244;99.08
245;99.72
246;99.36
247;98.88
248;99.6
249;99.6
250;98.76
251;99.84
252;99.64
253;99
254;99.76
255;98.28
256;99.64
257;99.44
258;99.56
259;98.96
260;99.68
261;99.84
262;-100.92
263;99.36
264;99.68
265;99.04
266;99
267;99.8
268;98.6
269;96.8
270;99.84
271;98.2
272;99.64
273;98.48
274;99.16
275;99.84
276;99.8
277;99.64
278;99.12
279;99.84
280;97.88
281;99.08
282;98.88
283;99.24
284;99.84
285;99.68
286;99.56
287;98.68
288;98.88
289;99.76
290;99.76
291;99.08
292;99.56
293;98.88
294;99.84
295;99.48
296;99.8
297;98.72
298;99.36
299;99.6
300;99.56
301;98.76
302;98.64
303;99.4
304;99.36
305;98.32
306;99.36
307;99.36
308;98.28
309;99.88
310;99.48
311;99.04
312;99.72
313;99.72
314;99.6
315;99.6
316;99.84
317;96.92
318;97.96
319;98.56
320;99.56
321;99.8
322;99.32
323;98.6
324;98.92
325;98.16
326;98.96
327;99.76
328;99.52
329;97.8
330;99.32
331;96.44
332;99.84
333;99.08
334;99.68
335;99.52
336;99.64
337;99.68
338;98.52
339;99.32
340;99.36
341;99.68
342;99.8
343;99.72
344;99.6
345;98.76
346;98.56
347;99.04
348;99.72
349;99.72
350;98.56
351;99.4
352;99.36
353;99.32
354;99.6
355;99.8
356;97.48
357;99.84
358;98.52
359;99.48
360;96.92
361;99.88
362;98.68
363;98.08
364;-100.6
365;98.56
366;98.48
367;99.52
368;99.56
369;98.76
370;99.8
371;99.88
372;99.64
373;98.64
374;99.32
375;99.84
376;98.64
377;98.44
378;99.36
379;99.88
380;99.68
381;99.84
382;99.56
383;98.88
384;99.36
385;98.84
386;99.48
387;99.6
388;99.6
389;99.64
390;97.24
391;99.88
392;99.32
393;98.4
394;99.64
395;99.8
396;97.96
397;99.48
398;99.48
399;99.88
400;99.88
401;99.48
402;98.76
403;99.28
404;98.36
405;99.12
406;99.32
407;99.8
408;99.8
409;99.4
410;98.88
411;98.36
412;99.88
413;99.6
414;99.68
415;98.52
416;99.52
417;99.6
418;99.64
419;99.32
420;98.64
421;98.88
422;99.72
423;99.56
424;99.88
425;99.72
426;99.28
427;99
428;99.88
429;99.8
430;99.8
431;97.92
432;99.52
433;99.6
434;99.52
435;99.44
436;99.08
437;99.88
438;98.04
439;99.72
440;95.44
441;99.08
442;98.76
443;99.68
444;97.56
445;98.88
446;99.6
447;98
448;99.76
449;99.32
450;98.24
451;98.96
452;98.64
453;99.8
454;97.64
455;99.44
456;99.68
457;99.84
458;99.56
459;99.84
460;99.4
461;99.44
462;98.56
463;99.48
464;99.44
465;99.44
466;99.6
467;98.8
468;99
469;99.32
470;98.8
471;99.72
472;99.12
473;99.68
474;99.88
475;98.8
476;99.16
477;99.68
478;99.72
479;99.84
480;99.28
481;99.2
482;98.76
483;98.84
484;98.84
485;99.2
486;98.44
487;99.8
488;99.4
489;99.72
490;99.56
491;99.68
492;99.68
493;99.6
494;98.92
495;99.64
496;99.68
497;99.6
498;99.72
499;99.84
500;99.6
501;98.2
502;98.44
503;98.6
504;99.88
505;99.52
506;97.64
507;97.8
508;99.44
509;99.04
510;99.84
511;99.64
512;99.6
513;99.68
514;96.92
515;99.72
516;99.8
517;99.68
518;99.8
519;98.44
520;98.24
521;99.72
522;98.28
523;99.84
524;99.72
525;99.84
526;99.52
527;98.64
528;97.56
529;99.36
530;99.28
531;99.64
532;99.56
533;99.88
534;99.64
535;99.8
536;98.6
537;97.28
538;98.48
539;98.56
540;99.36
541;99.36
542;99.76
543;98.04
544;99.84
545;99.72
546;99.8
547;99.8
548;98.8
549;99.44
550;99.52
551;99.56
552;99.44
553;99.8
554;98.96
555;99.32
556;99.6
557;99.76
558;99.44
559;99.84
560;99
561;98.84
562;99.84
563;99.08
564;98.2
565;99.8
566;99.88
567;98.76
568;99.16
569;99.88
570;99.68
571;99.76
572;99.12
573;98.8
574;99.8
575;99.88
576;99.08
577;99.24
578;99.8
579;99.12
580;96.52
581;99.72
582;99.36
583;98.36
584;99.72
585;99.68
586;99.32
587;99.8
588;98.72
589;98.8
590;99.88
591;99.88
592;99.44
593;99.76
594;98.72
595;99.56
596;97.8
597;99.76
598;99.4
599;99.76
600;99.72
601;99.56
602;98.56
603;98.08
604;99.6
605;99.16
606;99.84
607;99.64
608;99.72
609;98.76
610;98.8
611;98.6
612;98.56
613;99
614;99.44
